"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.s4","CONS.ASOC.parents.solves_Mill_2","CONS.ASOC.scrounges_Mill_2","CONS.SOCIAL.parents.solves_Mill_2","CONS.SOCIAL.scrounges_Mill_2","OFFs1","OFFs2","OFFs3","OFFs4","OFFASOC.parents.solves_Mill_2","OFFASOC.scrounges_Mill_2","OFFSOCIAL.parents.solves_Mill_2","OFFSOCIAL.scrounges_Mill_2","convergence","loglik","Baseline.parameter1","Baseline.parameter2","s1","s2","s3","s4","ASOCIALparents.solves_Mill_2","ASOCIALscrounges_Mill_2","SOCIALparents.solves_Mill_2","SOCIALscrounges_Mill_2","SE.Baseline.parameter1","SE.Baseline.parameter2","SEs1","SEs2","SEs3","SEs4","SEasocialparents.solves_Mill_2","SEasocialscrounges_Mill_2","SEsocialparents.solves_Mill_2","SEsocialscrounges_Mill_2","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"211",211,"additive","1:2:0:0","weibull",1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,FALSE,248.230079782185,170.590260216226,0.000115815426346285,1044.63495305771,146.298946540519,0,0,0,-1.51947163689846,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,506.460159564371,507.793492897704,76.6778721610789,2.23671998506026e-17,4.81481533141546e-18
"151",151,"unconstrained","1:2:0:0","weibull",1,2,0,0,3,0,0,4,0,0,0,0,0,0,0,0,FALSE,247.323100511377,29.387368634711,0.0454772360959502,1.4612914923347,0.218685326551079,0,0,0.037395422908107,0,0,-1.20957989100375,NA,NA,0.684506777511748,0.100600358130127,0,0,0.0280788618434399,0,0,0.808814858773675,506.646201022754,508.555291931845,77.4396711952197,1.52823119249654e-17,3.289705919707e-18
"156",156,"additive","1:2:0:3","weibull",1,2,0,3,0,4,0,0,0,0,0,0,0,0,0,0,FALSE,247.657717010006,183.963333880633,0.000114686229461414,1018.92722153279,122.549071713434,0,635.749357892309,0,-0.846389417575364,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,507.315434020013,509.224524929104,78.1089041924785,1.09362130160188e-17,2.35415458568159e-18
"150",150,"unconstrained","1:2:0:0","weibull",1,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,FALSE,247.690239723889,247.120198872935,0.000135077354217569,1250.41605197848,132.388210098076,0,0,0,-1.1141082568532,-0.0133475374283659,0,NA,NA,NA,NA,0,0,0,NA,NA,0,507.380479447779,509.28957035687,78.1739496202443,1.05862592578597e-17,2.27882272781269e-18
"157",157,"additive","1:2:0:3","weibull",1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,FALSE,247.81105342565,32.2255989034813,0.00289689511922365,39.1552115201842,4.82691995916116,0,24.8227321168501,0.085772798266387,0,0,0,699.173967465663,NA,NA,NA,0,16.1771454358157,0.0531969795934483,0,0,0,507.622106851301,509.531197760392,78.4155770237664,9.38153280776617e-18,2.01949051721791e-18
"110",110,"unconstrained","0:1:0:0","weibull",0,1,0,0,2,3,0,4,0,0,0,0,0,0,0,0,TRUE,248.463225651476,32.3283940232656,0.00119295030661435,0,10.7828381530328,0,0,0.12315998179861,-7.57885715513599,0,-1.86989337846023,NA,NA,0,NA,0,0,NA,NA,0,NA,508.926451302952,510.835542212043,79.7199214754177,4.88696245770168e-18,1.0519788763259e-18
"212",212,"additive","1:2:0:0","weibull",1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,250.916198540857,29.4289935987873,0.0357770313701874,2.16178421247915,0.404149312618261,0,0,0.0457970808370978,0,0,0,NA,0.0114000032437208,1.01401175899408,0.176608959501355,0,0,0.029097262580374,0,0,0,511.832397081715,513.165730415048,82.0501096784229,1.52421090177505e-18,3.28105174862976e-19
"47",47,"unconstrained","0:1:0:2","weibull",0,1,0,2,3,4,0,5,0,0,0,0,0,0,0,0,TRUE,248.29942493358,58.11103545772,0.00145284587177945,0,7.81681183289805,0,19.2195390770618,0.120843630702129,-7.14039377046451,0,-1.96737491160588,NA,NA,0,NA,0,NA,NA,NA,0,NA,510.598849867159,513.20350102995,82.0878802933244,1.49569581585615e-18,3.21966951313493e-19
"112",112,"socialEffectsOnly","0:1:0:2","weibull",0,1,0,2,0,0,3,4,0,0,0,0,0,0,0,0,TRUE,249.720126994284,29.1388047750767,0.00938123625215078,0,0.639808596367413,0,4.57892637143113,0,0,0.0316719084993816,-3.2084262279627,NA,0.018655758703657,0,1.50923153788166,0,10.3618848960322,0,0,0.0120045303225485,1.07315344351917,511.440253988567,513.349344897658,82.2337241610328,1.39050861929757e-18,2.99324111349544e-19
"179",179,"socialEffectsOnly","0:1:0:0","weibull",0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,TRUE,251.041191121489,28.8788871096922,0.00708182297193639,0,1.15879914243846,0,0,0,0,0.0316162760649873,-3.0884522505453,NA,0.0167942587051332,0,3.10980942241401,0,0,0,0,0.0118920661211219,1.03627845819722,512.082382242978,513.415715576311,82.3000948396857,1.34512137961648e-18,2.89553948838064e-19
